RANG,INSTITUTION,PAYS
1,Massachusetts Institute of Technology,USA
2,Stanford University,USA
3,Carnegie Mellon University,USA
4,University of California Berkeley,USA
5,Harvard University,USA
6,University of Oxford,Grande-Bretagne
7,University of Cambridge,Grande-Bretagne
8,Eidgenössische Technische Hochschule,Suisse
9,National University of Singapore,Singapour
10,Princeton University,USA
11,University of Tokyo,Japon
12,University of California Los Angeles,USA
13,Hong Kong University of Science and Technology,Chine
14,Cornell University,USA
15,University of Toronto,Canada
16,Columbia University,USA
17,Ecole Polytechnique Fédérale de Lausanne,Suisse
18,Imperial College London,Grande-Bretagne
19,University of Washington,USA
20,University of Illinois at Urbana-Champaign,USA
